       bessell_v  5490.7  357.2  5479.5  5465.6  270.3  350.9  5374.3  235.1  321.7  445.6  704.8  390.1  668.6
       bessell_r  6526.8  628.3  6498.2  6491.5  494.7  655.7  6247.4  373.5  574.0  751.8 1280.7  555.0 1203.2
       bessell_i  8035.5  461.6  8022.3  8055.2  439.8  449.0  7915.9  390.1  472.6  703.0  738.3  606.5  813.5
       landolt_u  3641.6  204.2  3635.7  3666.2  190.9  164.4  3613.3  193.9  178.4  363.4  287.6  356.6  310.8
      landolt_b2  4420.3  358.1  4406.2  4414.0  299.8  359.6  4287.3  249.4  337.9  475.9  675.0  387.9  675.2
      landolt_b3  4389.0  355.6  4375.1  4376.1  290.5  362.5  4252.7  236.4  334.6  454.3  688.0  367.5  678.3
       landolt_v  5482.7  359.3  5471.4  5454.9  265.5  348.5  5365.7  231.2  317.6  439.4  706.4  385.8  663.6
 stromgren_old_u  3447.4  125.6  3445.1  3448.0  112.1  117.9  3426.2  106.7  119.6  191.3  209.6  179.6  216.5
    acswfc_f502n  5023.1   33.0  5023.0  5022.3   17.2   18.0  5022.0   17.1   18.1   28.3   29.4   28.1   29.5
    acswfc_f658n  6584.0   34.0  6583.9  6583.6   22.2   22.2  6583.1   22.2   22.3   37.5   38.1   37.4   38.3
    acswfc_f660n  6599.5   30.7  6599.4  6598.7   11.0   11.3  6598.6   11.0   11.3   19.8   21.0   19.8   21.0
    acshrc_f344n  3433.9   45.7  3433.8  3433.4   17.7   18.0  3432.8   17.6   18.2   28.5   29.1   28.1   29.5
    acshrc_f502n  5023.0   37.2  5022.9  5022.4   17.2   17.9  5022.0   17.1   18.0   28.3   29.4   28.1   29.5
    acshrc_f658n  6583.9   39.8  6583.7  6583.5   22.2   22.2  6583.0   22.1   22.3   37.5   38.1   37.4   38.3
    acshrc_f660n  6599.3   43.6  6599.0  6598.7   11.0   11.3  6598.6   11.0   11.3   19.8   21.0   19.8   21.0
    acshrc_f892n  8916.4   62.0  8916.1  8917.1   47.3   45.6  8915.6   47.0   46.1   75.1   71.3   74.4   72.3
