

This is a high resolution (resolving power=4000) Kurucz Vega model wavelength-extended to 303.2 microns.

Column 2 is the line blanketted emergent spectrum.

Column 3 is the unblanketted atmosphere's spectrum

A total error of 1.46% (global bias) can be assigned to the 2nd Column.


M. Cohen
26/05/1996
KURUCZ VEGA MODEL                       
TEFF  9400.K   log(GRAV)  3.900 TITLE SDSC GRID  [-0.5] i.e. metal poor
VTURB 0.0 KM/S      RESOLVING POWER 4000  Absolutely calibrated by M. Cohen (provided 01/06/96)

  Wavelength   F-lambda      F-lambda 
                (model)     (continuum)
   (microns)   W/cm2/um      W/cm2/um
   1.056640  5.390658E-13  5.396837E-13
   1.056750  5.390417E-13  5.394830E-13
   1.056860  5.389738E-13  5.392826E-13
   1.056970  5.388616E-13  5.391042E-13
   1.057080  5.387054E-13  5.389039E-13
   1.057190  5.384830E-13  5.387035E-13
   1.057310  5.381403E-13  5.384929E-13
   1.057420  5.376758E-13  5.383149E-13
   1.057530  5.370572E-13  5.381147E-13
   1.057640  5.364169E-13  5.379148E-13
   1.057750  5.366577E-13  5.377148E-13
   1.057870  5.368882E-13  5.375047E-13
   1.057980  5.369087E-13  5.373270E-13
   1.058090  5.368191E-13  5.371271E-13
   1.058200  5.366195E-13  5.369275E-13
   1.058310  5.363538E-13  5.367278E-13
   1.058430  5.359243E-13  5.365402E-13
   1.058540  5.345596E-13  5.363408E-13
   1.058650  5.322501E-13  5.361414E-13
   1.058760  5.307546E-13  5.359420E-13
   1.058870  5.307764E-13  5.357428E-13
   1.058990  5.324137E-13  5.355555E-13
   1.059100  5.344558E-13  5.353564E-13
   1.059210  5.348060E-13  5.351574E-13
   1.059320  5.345412E-13  5.349584E-13
   1.059430  5.341229E-13  5.347814E-13
   1.059550  5.336946E-13  5.345724E-13
   1.059660  5.336276E-13  5.343737E-13
   1.059770  5.335169E-13  5.341751E-13
   1.059880  5.330334E-13  5.339984E-13
   1.060000  5.327154E-13  5.337899E-13
   1.060110  5.328679E-13  5.335913E-13
   1.060220  5.329545E-13  5.333929E-13
   1.060330  5.326687E-13  5.331947E-13
   1.060450  5.315403E-13  5.330082E-13
   1.060560  5.297869E-13  5.328100E-13
   1.060670  5.295458E-13  5.326119E-13
   1.060780  5.303993E-13  5.324138E-13
   1.060900  5.311113E-13  5.322277E-13
   1.061010  5.315921E-13  5.320299E-13
   1.061120  5.315475E-13  5.318320E-13
   1.061230  5.313718E-13  5.316343E-13
   1.061350  5.311204E-13  5.314266E-13
   1.061460  5.309009E-13  5.312508E-13
   1.061570  5.307254E-13  5.310534E-13
