WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.860100E-19
PIVWV    r 5581.206
BANDW    r 163.2712
TPEAK    r 0.3821064
EQUVW    r 203.7352
RECTW    r 533.1897
EMFLX    r 2.090060E-16
      3225.51   1.602093E-8
     3225.913   1.649026E-8
     3226.317   1.696296E-8
     3226.723   1.744097E-8
     3227.127   1.792057E-8
     3227.532   1.840526E-8
     3227.936   1.889151E-8
      3228.34   1.938095E-8
     3228.744   1.987368E-8
     3229.149   2.037006E-8
     3229.553   2.086982E-8
     3229.961   2.137719E-8
     3230.365   2.215965E-8
     3230.769   2.297743E-8
     3231.174   2.380147E-8
     3231.578   2.463081E-8
     3231.983   2.546641E-8
     3232.389   2.631187E-8
     3232.794   2.715907E-8
     3233.198   2.801203E-8
     3233.603   2.887128E-8
      3234.01   2.974003E-8
     3234.415   3.061161E-8
     3234.821   3.149227E-8
     3235.226   3.237551E-8
     3235.631   3.326402E-8
     3236.036   3.415899E-8
     3236.441   3.506076E-8
     3236.848   3.597179E-8
     3237.255   3.688923E-8
      3237.66   3.780870E-8
     3238.065   3.873415E-8
     3238.471   3.966560E-8
     3238.876   4.060364E-8
     3239.283   4.155122E-8
     3239.689   4.250151E-8
     3240.094   4.356697E-8
       3240.5   4.500181E-8
     3240.906   4.644530E-8
     3241.313   4.790508E-8
      3241.72   4.937441E-8
     3242.126   5.084726E-8
     3242.532   5.233085E-8
     3242.938   5.382317E-8
     3243.344   5.532603E-8
     3243.752   5.684498E-8
     3244.158   5.836720E-8
     3244.566   5.990640E-8
     3244.972   6.144799E-8
     3245.378   6.300027E-8
     3245.784   6.456234E-8
      3246.19   6.613442E-8
     3246.599   6.772421E-8
     3247.005   6.931629E-8
     3247.411   7.091851E-8
     3247.818   7.253063E-8
     3248.224   7.415294E-8
     3248.633   7.579332E-8
     3249.041   7.744367E-8
     3249.448   7.909671E-8
     3249.855   8.075977E-8
     3250.261   8.281268E-8
     3250.668   8.509128E-8
     3251.075   8.738249E-8
     3251.484   8.969980E-8
     3251.893   9.202999E-8
       3252.3   9.436438E-8
     3252.707   9.671430E-8
     3253.114   9.907725E-8
     3253.523   1.014680E-7
      3253.93   1.038617E-7
     3254.338   1.062689E-7
     3254.745   1.086918E-7
     3255.152   1.111277E-7
      3255.56   1.135801E-7
     3255.969   1.160587E-7
     3256.379   1.185516E-7
     3256.786   1.210472E-7
     3257.194   1.235587E-7
     3257.602   1.260849E-7
     3258.009   1.286257E-7
     3258.419   1.311933E-7
     3258.827   1.337650E-7
     3259.237   1.363627E-7
     3259.645   1.389648E-7
     3260.052   1.416826E-7
     3260.461   1.451041E-7
     3260.871   1.485603E-7
     3261.279   1.520222E-7
     3261.687   1.555043E-7
     3262.095   1.590071E-7
     3262.504   1.625336E-7
     3262.914   1.660956E-7
     3263.322   1.696621E-7
     3263.732   1.732639E-7
     3264.141   1.768738E-7
      3264.55   1.805025E-7
     3264.958   1.841541E-7
     3265.367   1.878271E-7
     3265.777   1.915365E-7
     3266.186   1.952533E-7
     3266.595   1.989907E-7
     3267.006   2.027649E-7
     3267.415   2.065438E-7
     3267.825   2.103597E-7
     3268.235   2.141842E-7
     3268.644   2.180308E-7
     3269.053   2.218960E-7
     3269.462   2.257854E-7
     3269.871   2.296938E-7
     3270.282   2.342676E-7
     3270.692   2.391295E-7
     3271.103   2.440447E-7
     3271.512   2.489627E-7
     3271.922   2.539080E-7
     3272.332   2.588849E-7
     3272.743   2.639106E-7
     3273.153   2.689426E-7
     3273.562   2.740017E-7
     3273.972   2.790915E-7
     3274.384   2.842297E-7
     3274.793   2.893711E-7
     3275.205   2.945690E-7
     3275.615   2.997710E-7
     3276.025   3.050010E-7
     3276.435   3.102612E-7
     3276.845   3.155496E-7
     3277.256   3.208660E-7
     3277.668   3.262361E-7
     3278.078   3.316092E-7
      3278.49   3.370372E-7
       3278.9   3.424712E-7
     3279.311   3.479346E-7
     3279.723   3.534453E-7
     3280.134   3.592874E-7
     3280.544   3.658290E-7
     3280.955   3.724056E-7
     3281.366   3.790140E-7
     3281.778   3.856884E-7
     3282.191   3.923986E-7
     3282.602   3.991126E-7
     3283.012   4.058656E-7
     3283.424   4.126589E-7
     3283.834   4.194834E-7
     3284.246   4.263458E-7
     3284.658   4.332713E-7
      3285.07   4.402038E-7
     3285.481   4.471768E-7
     3285.894   4.542105E-7
     3286.305   4.612549E-7
     3286.717   4.683349E-7
      3287.13   4.754846E-7
     3287.541   4.826364E-7
     3287.953   4.898284E-7
     3288.364   4.970522E-7
     3288.776   5.043162E-7
     3289.189   5.116511E-7
     3289.603   5.190224E-7
     3290.015   5.264253E-7
     3290.427   5.346832E-7
     3290.838   5.429829E-7
      3291.25   5.513267E-7
     3291.664   5.597453E-7
     3292.076   5.681674E-7
     3292.488   5.766415E-7
       3292.9   5.851576E-7
     3293.314   5.937520E-7
     3293.727   6.023513E-7
     3294.141   6.110309E-7
     3294.553   6.197203E-7
     3294.966   6.284522E-7
     3295.378   6.372254E-7
     3295.791   6.460464E-7
     3296.203   6.549100E-7
     3296.617   6.638535E-7
     3297.032   6.728455E-7
     3297.445   6.818368E-7
     3297.857   6.908762E-7
      3298.27   6.999616E-7
     3298.683   7.090915E-7
     3299.098   7.183017E-7
     3299.511   7.275206E-7
     3299.924   7.367826E-7
     3300.337   7.464121E-7
     3300.752   7.562001E-7
     3301.165   7.659979E-7
      3301.58   7.758749E-7
     3301.993   7.857621E-7
     3302.406   7.957007E-7
      3302.82   8.056849E-7
     3303.233   8.157157E-7
     3303.649   8.258302E-7
     3304.064   8.359914E-7
     3304.478   8.461601E-7
     3304.891   8.563746E-7
     3305.305   8.666411E-7
     3305.719   8.769535E-7
     3306.134   8.873551E-7
     3306.548   8.977600E-7
     3306.962   9.082110E-7
     3307.376   9.187124E-7
      3307.79   9.292601E-7
     3308.206   9.399001E-7
      3308.62   9.505455E-7
     3309.036   9.612879E-7
      3309.45   9.720260E-7
     3309.865   9.828104E-7
     3310.279   9.941016E-7
     3310.693   1.005666E-6
     3311.109   1.017338E-6
     3311.526   1.029063E-6
      3311.94   1.040791E-6
     3312.355   1.052563E-6
     3312.769   1.064386E-6
     3313.186   1.076321E-6
     3313.601   1.088266E-6
     3314.015   1.100264E-6
      3314.43   1.112308E-6
     3314.845   1.124406E-6
      3315.26   1.136566E-6
     3315.677   1.148830E-6
     3316.094   1.161147E-6
     3316.509   1.173475E-6
     3316.924   1.185848E-6
     3317.339   1.198283E-6
     3317.754   1.210770E-6
     3318.171   1.223362E-6
     3318.587   1.235954E-6
     3319.004   1.248660E-6
     3319.419   1.261370E-6
     3319.835   1.274135E-6
      3320.25   1.287022E-6
     3320.668   1.300069E-6
     3321.084   1.313119E-6
     3321.499   1.326217E-6
     3321.915   1.339377E-6
     3322.331   1.352600E-6
     3322.747   1.365870E-6
     3323.165   1.379257E-6
     3323.582   1.392699E-6
     3323.998   1.406142E-6
     3324.415   1.419644E-6
     3324.831   1.433193E-6
     3325.247   1.446807E-6
     3325.665   1.460535E-6
     3326.081   1.474261E-6
     3326.499   1.488109E-6
     3326.916   1.501954E-6
     3327.332   1.515851E-6
     3327.749   1.529793E-6
     3328.167   1.543869E-6
     3328.584   1.557950E-6
        3329.   1.572080E-6
     3329.417   1.586262E-6
     3329.834   1.600501E-6
     3330.252   1.614668E-6
     3330.671   1.628763E-6
     3331.088   1.642846E-6
     3331.505   1.656988E-6
     3331.922   1.671193E-6
     3332.339   1.685449E-6
     3332.758   1.699830E-6
     3333.175   1.714207E-6
     3333.593   1.728638E-6
     3334.011   1.743184E-6
     3334.429   1.757736E-6
     3334.846   1.772337E-6
     3335.266   1.787074E-6
     3335.683   1.801801E-6
     3336.101   1.816584E-6
     3336.518   1.831425E-6
     3336.936   1.846331E-6
     3337.354   1.861289E-6
     3337.773   1.876371E-6
     3338.193   1.891518E-6
     3338.611   1.906659E-6
     3339.029   1.921866E-6
     3339.447   1.937118E-6
     3339.865   1.952428E-6
     3340.284   1.967491E-6
     3340.703   1.982371E-6
     3341.121   1.997295E-6
     3341.541   2.012351E-6
     3341.959   2.027391E-6
     3342.377   2.042500E-6
     3342.798   2.057726E-6
     3343.216   2.072946E-6
     3343.635   2.088222E-6
     3344.053   2.103553E-6
     3344.472   2.118943E-6
     3344.892   2.134453E-6
     3345.311   2.149956E-6
     3345.731   2.165588E-6
      3346.15   2.181204E-6
     3346.569   2.196883E-6
     3346.988   2.212619E-6
     3347.407   2.228412E-6
     3347.828   2.244336E-6
     3348.247   2.260244E-6
     3348.666   2.276221E-6
     3349.087   2.292320E-6
     3349.506   2.308404E-6
     3349.927   2.324622E-6
     3350.347   2.340460E-6
     3350.766   2.356275E-6
     3351.186   2.372145E-6
     3351.605   2.388070E-6
     3352.024   2.404049E-6
     3352.446   2.420154E-6
     3352.865   2.436249E-6
     3353.285   2.452396E-6
     3353.707   2.468671E-6
     3354.127   2.484941E-6
     3354.546   2.501262E-6
     3354.968   2.517727E-6
     3355.388   2.534166E-6
     3355.808   2.550660E-6
     3356.228   2.567223E-6
      3356.65   2.583912E-6
      3357.07   2.600588E-6
     3357.492   2.617389E-6
     3357.913   2.634169E-6
     3358.333   2.651023E-6
     3358.753   2.667936E-6
     3359.174   2.684905E-6
     3359.594   2.701925E-6
     3360.017   2.719053E-6
     3360.437   2.735464E-6
     3360.858   2.751929E-6
     3361.281   2.768521E-6
     3361.701   2.785088E-6
     3362.124   2.801783E-6
     3362.545   2.818457E-6
     3362.966   2.835184E-6
     3363.387   2.852003E-6
     3363.808   2.868871E-6
     3364.229   2.885785E-6
     3364.654   2.902888E-6
     3365.075   2.919902E-6
     3365.496   2.936987E-6
     3365.917   2.954135E-6
     3366.338   2.971324E-6
      3366.76   2.988577E-6
     3367.183   3.005968E-6
     3367.605   3.023348E-6
     3368.026   3.040773E-6
     3368.448   3.058251E-6
     3368.871   3.075866E-6
     3369.293   3.093464E-6
     3369.717   3.111204E-6
     3370.138   3.128618E-6
