WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f222m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.931192E-20
PIVWV    r 22175.11
BANDW    r 511.4591
TPEAK    r 0.2713668
EQUVW    r 401.4564
RECTW    r 1479.387
EMFLX    r 8.132304E-17
     20702.71   0.003792937
     20703.05   0.003755923
     20703.37   0.003721244
     20703.69   0.003686561
     20704.03   0.003649612
     20704.35   0.003618355
     20704.66   0.003587093
     20704.98   0.003555826
     20705.32   0.003522443
     20705.66   0.003488865
     20705.98   0.003457584
      20706.3   0.003517495
     20706.64   0.003587147
     20706.96   0.003652407
     20707.28   0.003717673
      20707.6   0.003782952
     20707.94   0.003853045
     20708.28   0.003841069
      20708.6   0.003812603
     20708.91   0.003784131
     20709.26   0.003753559
     20709.57   0.003725082
     20709.89   0.003696597
     20710.21    0.00350894
     20710.55   0.003220404
     20710.87   0.002951616
     20711.19   0.002682786
     20711.53   0.002395772
     20711.87   0.002107064
     20712.19    0.00213197
     20712.51   0.002356841
     20712.83   0.002581743
     20713.17   0.002823239
     20713.49   0.003048209
     20713.83   0.003288397
     20714.14   0.003402444
     20714.49   0.003381581
      20714.8   0.003362144
     20715.12   0.003342706
     20715.46   0.003321831
     20715.78   0.003302387
      20716.1    0.00322417
     20716.42   0.003020487
     20716.76   0.002803024
     20717.08   0.002598028
     20717.42     0.0023805
     20717.74   0.002176693
     20718.06   0.002056675
      20718.4   0.002343647
     20718.72   0.002610979
     20719.04   0.002878353
     20719.38    0.00316545
      20719.7   0.003432903
     20720.04   0.003688085
     20720.36   0.003681056
     20720.67   0.003674023
     20721.02   0.003666472
     20721.33   0.003659436
     20721.65   0.003652403
     20721.99    0.00364489
     20722.31   0.003660449
     20722.63   0.003676678
     20722.97   0.003693899
     20723.29   0.003710032
     20723.63   0.003727358
     20723.95   0.003743496
     20724.27   0.003642704
     20724.61   0.003510646
     20724.93   0.003387628
     20725.25    0.00326459
     20725.59   0.003132474
     20725.93   0.003000338
     20726.25    0.00308596
     20726.57   0.003230761
     20726.88   0.003375584
     20727.23    0.00353109
     20727.54   0.003675956
     20727.86   0.003820843
     20728.21   0.003756905
     20728.52   0.003561025
     20728.84   0.003365117
     20729.18   0.003154754
      20729.5   0.002958789
     20729.84   0.002748362
     20730.16   0.002783977
     20730.48   0.003042876
     20730.82   0.003320878
     20731.14   0.003579855
     20731.46    0.00383887
      20731.8   0.004116994
     20732.12   0.004199247
     20732.46   0.003970073
     20732.78   0.003756584
      20733.1   0.003541751
     20733.44   0.003313787
     20733.76   0.003098891
     20734.08    0.00299674
     20734.42   0.003255063
     20734.74   0.003495708
     20735.08    0.00375411
      20735.4   0.003994826
     20735.72   0.004235579
     20736.06   0.004420602
     20736.38   0.004262093
      20736.7   0.004103561
     20737.04   0.003933331
     20737.36   0.003774751
      20737.7   0.003604471
     20738.02   0.003450082
     20738.34   0.003377333
     20738.68   0.003299693
       20739.   0.003227367
     20739.31    0.00315503
     20739.66   0.003077357
     20739.97      0.003005
     20740.29    0.00297933
     20740.61   0.002957574
     20740.95   0.002934487
     20741.29   0.002911264
     20741.62   0.002889497
     20741.93   0.002867858
     20742.28   0.003010625
     20742.59   0.003180907
     20742.91   0.003351213
     20743.23   0.003521544
     20743.57   0.003704441
     20743.91   0.003887366
     20744.23   0.003839863
     20744.55    0.00371284
     20744.89   0.003576448
     20745.21   0.003449388
     20745.53   0.003322309
     20745.85   0.003194433
     20746.19   0.003167147
     20746.51   0.003220669
     20746.85   0.003277791
     20747.17   0.003331003
     20747.49   0.003384222
     20747.83   0.003441369
     20748.15   0.003558543
     20748.47   0.003744735
     20748.81   0.003944664
     20749.13   0.004130912
     20749.47     0.0043309
     20749.79   0.004517202
     20750.13   0.004532829
     20750.45   0.004275508
     20750.77   0.004019722
     20751.09     0.0037639
     20751.43   0.003489204
     20751.75   0.003231735
     20752.07   0.003050585
     20752.41   0.003139324
     20752.75   0.003228078
     20753.07   0.003310757
     20753.39   0.003393449
     20753.71   0.003476658
     20754.05   0.003537974
     20754.37   0.003454731
     20754.69   0.003370968
     20755.03   0.003281573
     20755.37   0.003192165
     20755.69   0.003108874
     20756.01    0.00303175
     20756.33   0.003116727
     20756.67   0.003207419
     20756.99   0.003291904
     20757.31   0.003376402
     20757.65   0.003467131
     20757.97   0.003552171
     20758.29   0.003694223
     20758.63   0.003852557
     20758.95   0.004000958
     20759.29   0.004159337
     20759.61   0.004306876
     20759.93   0.004454438
     20760.27   0.004553643
     20760.59   0.004632748
     20760.91   0.004711383
     20761.25    0.00479582
     20761.57   0.004874956
     20761.92   0.004959416
     20762.23   0.004800147
     20762.55   0.004554085
      20762.9   0.004291483
     20763.21   0.004046851
     20763.53   0.003802185
     20763.88    0.00353947
      20764.2   0.003512669
     20764.54    0.00363393
     20764.86   0.003746894
     20765.18   0.003860567
     20765.52   0.003981882
     20765.84   0.004094894
     20766.16   0.004122472
      20766.5   0.004055381
     20766.82   0.003992883
     20767.16   0.003925774
     20767.48   0.003862874
      20767.8   0.003800351
     20768.14   0.003765822
     20768.46   0.003778222
     20768.78    0.00379055
     20769.12    0.00380386
     20769.44    0.00381619
     20769.76   0.003828521
      20770.1   0.003868843
     20770.42   0.003965839
     20770.76   0.004069992
     20771.08   0.004167615
      20771.4   0.004264652
     20771.74   0.004368849
     20772.06   0.004433033
     20772.38   0.004359572
      20772.7    0.00428565
     20773.04   0.004206761
     20773.38    0.00412786
     20773.71   0.004053906
     20774.02   0.003984995
     20774.37   0.003973162
     20774.69   0.003962072
       20775.   0.003951046
     20775.32   0.003939953
     20775.67   0.003928113
     20775.98   0.003917084
     20776.33   0.004036223
     20776.65   0.004152359
     20776.99    0.00427706
     20777.31   0.004393944
     20777.63   0.004510127
     20777.95   0.004627041
     20778.29   0.004457215
     20778.61   0.004247672
     20778.95   0.004024043
     20779.27   0.003815718
     20779.61   0.003590746
     20779.93   0.003382361
     20780.25   0.003444134
     20780.59   0.003588655
     20780.91   0.003723286
     20781.23   0.003858762
     20781.55   0.003994257
     20781.89    0.00413886
     20782.24   0.004249061
     20782.56   0.004337953
     20782.87   0.004426314
     20783.22   0.004521196
     20783.54   0.004610124
     20783.86   0.004699068
     20784.18   0.004728581
     20784.52   0.004708984
     20784.86   0.004689266
     20785.18   0.004671007
      20785.5   0.004652631
     20785.82   0.004634365
     20786.16    0.00461862
     20786.48   0.004608166
      20786.8   0.004597647
     20787.14   0.004586419
     20787.46   0.004575898
     20787.78   0.004565437
     20788.13   0.004556632
     20788.44   0.004552512
     20788.79   0.004548061
     20789.11   0.004543941
     20789.43   0.004539792
     20789.77   0.004535367
     20790.09   0.004555973
     20790.41   0.004641528
     20790.75   0.004733917
     20791.09   0.004825796
     20791.41   0.004911911
     20791.73   0.004997514
     20792.05   0.005047011
     20792.39   0.004892304
     20792.71   0.004747301
     20793.03   0.004603158
     20793.38   0.004447503
     20793.69   0.004303318
     20794.01   0.004171256
     20794.36   0.004342011
     20794.68   0.004502057
     20795.02   0.004672863
     20795.34   0.004832951
     20795.66   0.004993063
       20796.   0.005163938
     20796.32    0.00507566
     20796.64   0.004987906
     20796.98   0.004893139
      20797.3    0.00480536
     20797.64   0.004710567
     20797.96   0.004622224
     20798.28   0.004627195
     20798.63   0.004645002
     20798.95   0.004661494
     20799.27   0.004678091
     20799.61   0.004695804
     20799.93   0.004712407
     20800.27   0.004753612
     20800.59   0.004798141
     20800.91   0.004842673
     20801.25   0.004890202
     20801.57    0.00493475
     20801.89   0.004979306
     20802.23   0.004931262
     20802.55   0.004845167
      20802.9   0.004753279
     20803.22   0.004667152
     20803.54   0.004581012
     20803.88   0.004489078
      20804.2   0.004487659
     20804.52   0.004537759
     20804.86   0.004591232
     20805.18   0.004641351
      20805.5   0.004691172
     20805.82   0.004741309
     20806.16   0.004761218
     20806.51   0.004744094
     20806.83   0.004728044
     20807.15   0.004711992
     20807.49   0.004694859
     20807.81     0.0046788
     20808.13    0.00468654
     20808.47   0.004732514
     20808.79   0.004775607
     20809.13   0.004821597
     20809.45   0.004864702
     20809.77   0.004907815
     20810.12   0.004956423
     20810.44   0.005006768
     20810.76   0.005057122
     20811.08   0.005107485
     20811.42   0.005161236
     20811.74   0.005211615
     20812.08   0.005188867
      20812.4   0.004933173
     20812.74   0.004658722
     20813.06    0.00440294
     20813.38   0.004148677
      20813.7   0.003892809
     20814.05   0.003686244
     20814.37   0.003894194
     20814.71   0.004118767
     20815.03   0.004328062
     20815.37   0.004551434
     20815.69   0.004760803
     20816.01   0.004957378
     20816.33   0.004816236
     20816.67   0.004665605
     20816.99   0.004524415
     20817.31   0.004383202
     20817.66   0.004231631
       20818.   0.004080895
     20818.32   0.004094616
     20818.64    0.00410834
     20818.96   0.004122064
      20819.3   0.004136713
     20819.62   0.004150444
     20819.94   0.004164176
     20820.29   0.004164249
     20820.63   0.004161407
     20820.95   0.004158762
     20821.27   0.004156114
     20821.59   0.004153464
     20821.93    0.00415064
     20822.25   0.004562581
     20822.57   0.005087085
     20822.91   0.005646867
     20823.23   0.006171548
     20823.55   0.006696316
      20823.9   0.007259582
     20824.22   0.007322131
     20824.56   0.007159786
     20824.88    0.00700762
      20825.2   0.006855431
     20825.54   0.006692076
     20825.87    0.00653983
     20826.19   0.006335023
     20826.53   0.006075713
     20826.85   0.005832664
     20827.19   0.005571784
     20827.51   0.005328652
     20827.83   0.005085478
     20828.17   0.004982786
     20828.49   0.005028565
     20828.81   0.005074352
     20829.16   0.005123501
     20829.48     0.0051693
     20829.82   0.005218185
     20830.14    0.00523631
     20830.46   0.005219053
      20830.8   0.005200529
     20831.13   0.005183268
     20831.45   0.005165999
     20831.79   0.005147569
     20832.11   0.005143147
     20832.45   0.005165735
     20832.77   0.005186784
     20833.09   0.005207838
     20833.43   0.005230308
     20833.75   0.005251367
     20834.07   0.005299835
     20834.42   0.005449381
     20834.74   0.005588758
     20835.06   0.005728155
      20835.4   0.005877777
     20835.72   0.006017224
     20836.06   0.006112763
     20836.38   0.005987436
     20836.71   0.005862086
     20837.05   0.005727541
     20837.37   0.005602148
     20837.69   0.005476737
     20838.03   0.005364843
     20838.35   0.005458578
      20838.7   0.005558616
     20839.02    0.00565238
     20839.34   0.005746162
     20839.68   0.005846823
       20840.   0.005940634
     20840.32   0.005790337
     20840.64   0.005640014
     20840.98   0.005478665
      20841.3    0.00532829
     20841.65   0.005166886
     20841.97   0.005016461
     20842.31   0.005078068
     20842.63   0.005156268
     20842.95   0.005234486
     20843.29   0.005317959
     20843.62   0.005396202
     20843.94   0.005474456
     20844.28   0.005481384
      20844.6   0.005471265
     20844.94   0.005460407
     20845.26   0.005450286
     20845.58   0.005440163
     20845.93   0.005429301
     20846.25   0.005487517
     20846.57    0.00556566
     20846.89   0.005643814
     20847.23   0.005727699
     20847.58   0.005811599
      20847.9   0.005889796
     20848.22   0.005940245
     20848.56   0.005980171
     20848.88   0.006017383
      20849.2   0.006054598
     20849.52   0.006091823
     20849.87   0.006131775
     20850.21   0.006022997
     20850.53   0.005832237
     20850.85   0.005641444
     20851.19   0.005436656
     20851.51   0.005245799
     20851.83   0.005054912
     20852.15   0.005062095
