WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f785lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.727259E-18
PIVWV    r 8686.312
BANDW    r 578.1899
TPEAK    r 0.006783323
EQUVW    r 10.66919
RECTW    r 1572.855
EMFLX    r 8.155447E-15
     2213.656            0.
     2214.048            0.
     2214.441            0.
     2214.833            0.
     2215.226            0.
     2215.618            0.
     2216.011            0.
     2216.403            0.
     2216.796            0.
     2217.189            0.
     2217.583            0.
     2217.975            0.
     2218.369            0.
     2218.761            0.
     2219.155            0.
     2219.548            0.
     2219.942            0.
     2220.334            0.
     2220.728            0.
     2221.122            0.
     2221.516            0.
      2221.91            0.
     2222.304            0.
     2222.697            0.
     2223.091            0.
     2223.485            0.
     2223.879            0.
     2224.272            0.
     2224.667            0.
     2225.062            0.
     2225.456            0.
     2225.851            0.
     2226.245            0.
     2226.639            0.
     2227.034            0.
     2227.429            0.
     2227.824            0.
     2228.218            0.
     2228.614            0.
     2229.009            0.
     2229.403            0.
     2229.799            0.
     2230.194            0.
      2230.59            0.
     2230.984            0.
      2231.38            0.
     2231.775            0.
      2232.17            0.
     2232.567            0.
     2232.962            0.
     2233.357            0.
     2233.754            0.
      2234.15            0.
     2234.545            0.
     2234.941            0.
     2235.337            0.
     2235.734            0.
      2236.13            0.
     2236.527            0.
     2236.922            0.
     2237.319            0.
     2237.716            0.
     2238.112            0.
     2238.508            0.
     2238.905            0.
     2239.302            0.
     2239.699            0.
     2240.096            0.
     2240.494            0.
      2240.89            0.
     2241.287            0.
     2241.685            0.
     2242.082            0.
     2242.479            0.
     2242.877            0.
     2243.275            0.
     2243.672            0.
      2244.07            0.
     2244.468            0.
     2244.864            0.
     2245.262            0.
     2245.661            0.
     2246.059            0.
     2246.456            0.
     2246.855            0.
     2247.254            0.
     2247.651            0.
      2248.05            0.
     2248.448            0.
     2248.846            0.
     2249.245            0.
     2249.644            0.
     2250.042            0.
     2250.442            0.
     2250.841            0.
      2251.24            0.
     2251.638            0.
     2252.037            0.
     2252.437            0.
     2252.835            0.
     2253.234            0.
     2253.634            0.
     2254.033            0.
     2254.433            0.
     2254.833            0.
     2255.233            0.
     2255.632            0.
     2256.031            0.
     2256.432            0.
     2256.831            0.
     2257.232            0.
     2257.632            0.
     2258.031            0.
     2258.432            0.
     2258.832            0.
     2259.232            0.
     2259.632            0.
     2260.033            0.
     2260.432            0.
     2260.833            0.
     2261.236            0.
     2261.636            0.
     2262.036            0.
     2262.437            0.
     2262.839            0.
     2263.239            0.
      2263.64            0.
     2264.042            0.
     2264.443            0.
     2264.844            0.
     2265.246            0.
     2265.648            0.
     2266.049            0.
      2266.45            0.
     2266.852            0.
     2267.253            0.
     2267.655            0.
     2268.057            0.
     2268.459            0.
     2268.862            0.
     2269.264            0.
     2269.665            0.
     2270.068            0.
      2270.47            0.
     2270.873            0.
     2271.274            0.
     2271.678            0.
     2272.081            0.
     2272.483            0.
     2272.886            0.
     2273.289            0.
     2273.691            0.
     2274.094            0.
     2274.497            0.
     2274.901            0.
     2275.303            0.
     2275.706            0.
     2276.111            0.
     2276.514            0.
     2276.917            0.
     2277.321            0.
     2277.724            0.
     2278.128            0.
     2278.531            0.
     2278.936            0.
      2279.34            0.
     2279.744            0.
     2280.148            0.
     2280.551            0.
     2280.956            0.
      2281.36            0.
     2281.764            0.
     2282.168            0.
     2282.573            0.
     2282.978            0.
     2283.383            0.
     2283.788            0.
     2284.192            0.
     2284.596            0.
     2285.001            0.
     2285.407            0.
     2285.811            0.
     2286.216            0.
     2286.623            0.
     2287.027            0.
     2287.433            0.
     2287.838            0.
     2288.243            0.
     2288.648            0.
     2289.054            0.
      2289.46            0.
     2289.865            0.
     2290.271            0.
     2290.678            0.
     2291.083            0.
      2291.49            0.
     2291.896            0.
     2292.301            0.
     2292.708            0.
     2293.114            0.
     2293.521            0.
     2293.928            0.
     2294.334            0.
      2294.74            0.
     2295.147            0.
     2295.554            0.
     2295.961            0.
     2296.367            0.
     2296.774            0.
     2297.182            0.
     2297.589            0.
     2297.996            0.
     2298.404            0.
      2298.81            0.
     2299.218            0.
     2299.626            0.
     2300.033            0.
      2300.44            0.
     2300.848            0.
     2301.257            0.
     2301.664            0.
     2302.072            0.
      2302.48            0.
     2302.888            0.
     2303.296            0.
     2303.704            0.
     2304.113            0.
      2304.52            0.
     2304.929            0.
     2305.339            0.
     2305.747            0.
     2306.156            0.
     2306.564            0.
     2306.972            0.
     2307.381            0.
     2307.791            0.
       2308.2            0.
     2308.609            0.
     2309.019            0.
     2309.428            0.
     2309.836            0.
     2310.246            0.
     2310.656            0.
     2311.065            0.
     2311.474            0.
     2311.884            0.
     2312.294            0.
     2312.704            0.
     2313.114            0.
     2313.523            0.
     2313.933            0.
     2314.344            0.
     2314.754            0.
     2315.163            0.
     2315.574            0.
     2315.986            0.
     2316.395            0.
     2316.806            0.
     2317.217            0.
     2317.626            0.
     2318.037            0.
     2318.448            0.
     2318.859            0.
      2319.27            0.
     2319.681            0.
     2320.093            0.
     2320.503            0.
     2320.915            0.
     2321.327            0.
     2321.737            0.
     2322.149            0.
     2322.561            0.
     2322.972            0.
     2323.384            0.
     2323.796            0.
     2324.208            0.
     2324.619            0.
     2325.031            0.
     2325.444            0.
     2325.855            0.
     2326.267            0.
      2326.68            0.
     2327.093            0.
     2327.505            0.
     2327.918            0.
     2328.331            0.
     2328.742            0.
     2329.156            0.
     2329.568            0.
      2329.98            0.
     2330.394            0.
     2330.808            0.
      2331.22            0.
     2331.634            0.
     2332.047            0.
      2332.46            0.
     2332.873            0.
     2333.287            0.
       2333.7            0.
     2334.113            0.
     2334.527            0.
     2334.941            0.
     2335.355            0.
     2335.769            0.
     2336.183            0.
     2336.598            0.
     2337.011            0.
     2337.425            0.
      2337.84            0.
     2338.254            0.
     2338.669            0.
     2339.083            0.
     2339.497            0.
     2339.912            0.
     2340.327            0.
     2340.741            0.
     2341.156            0.
     2341.571            0.
     2341.986            0.
       2342.4            0.
     2342.817            0.
     2343.232            0.
     2343.646            0.
     2344.062            0.
     2344.477            0.
     2344.892            0.
     2345.308            0.
     2345.725            0.
      2346.14            0.
     2346.556            0.
     2346.972            0.
     2347.388            0.
     2347.803            0.
      2348.22            0.
     2348.636            0.
     2349.052            0.
     2349.468            0.
     2349.885            0.
     2350.301            0.
     2350.718            0.
     2351.135            0.
     2351.551            0.
     2351.968            0.
     2352.385            0.
     2352.802            0.
     2353.219            0.
     2353.636            0.
     2354.054            0.
      2354.47            0.
     2354.887            0.
     2355.305            0.
