WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f190n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.995194E-19
PIVWV    r 19003.38
BANDW    r 62.56868
TPEAK    r 0.2514151
EQUVW    r 46.25806
RECTW    r 183.9908
EMFLX    r 9.200486E-17
     18635.27   1.799781E-4
     18635.45   1.715699E-4
     18635.62   1.640563E-4
     18635.82   1.546642E-4
     18635.99   1.471506E-4
     18636.17   1.400063E-4
     18636.37   1.321395E-4
     18636.54   1.259210E-4
     18636.72   1.188034E-4
     18636.91   1.117609E-4
     18637.09   1.047183E-4
     18637.28   9.760087E-5
     18637.46   9.055835E-5
     18637.64   8.351589E-5
     18637.81   7.722260E-5
     18638.01   6.883919E-5
      18638.2   5.369893E-5
     18638.36   4.016937E-5
     18638.54   2.502921E-5
     18638.73   9.889097E-6
     18638.91            0.
      18639.1            0.
     18639.28            0.
     18639.46            0.
     18639.65            0.
     18639.83            0.
     18640.02            0.
      18640.2            0.
     18640.37            0.
     18640.55            0.
     18640.73            0.
     18640.92            0.
      18641.1            0.
     18641.29            0.
     18641.47            0.
     18641.65            0.
     18641.84            0.
     18642.02            0.
     18642.21            0.
     18642.39            0.
     18642.55            0.
     18642.74            0.
     18642.94            0.
     18643.11            0.
     18643.29            0.
     18643.48            0.
     18643.66            0.
     18643.84            0.
     18644.03            0.
     18644.21            0.
     18644.38            0.
     18644.58            0.
     18644.77            0.
     18644.93            0.
     18645.11            0.
      18645.3            0.
     18645.48            0.
     18645.67            0.
     18645.85            0.
     18646.04            0.
     18646.22            0.
      18646.4            0.
     18646.59            0.
     18646.77            0.
     18646.96            0.
     18647.14            0.
      18647.3            0.
     18647.49   7.968452E-5
     18647.67   1.802193E-4
     18647.86   2.818233E-4
     18648.04   3.572897E-4
     18648.22   3.456166E-4
     18648.41   3.338196E-4
     18648.59   3.221466E-4
     18648.78   3.103496E-4
     18648.96   2.986767E-4
     18649.13   2.882457E-4
     18649.33   2.752070E-4
     18649.52   2.635343E-4
     18649.68   2.531034E-4
     18649.86   2.414308E-4
     18650.05   2.270984E-4
     18650.23   2.058920E-4
     18650.42   1.846856E-4
      18650.6   1.632537E-4
     18650.79   1.420475E-4
     18650.97   1.208414E-4
     18651.15   9.940960E-5
     18651.34   7.820363E-5
      18651.5   5.925367E-5
     18651.71   3.556627E-5
     18651.87   1.661646E-5
     18652.05   3.991550E-6
     18652.24   1.159276E-5
     18652.42   1.927481E-5
     18652.61   2.687596E-5
     18652.79   3.447709E-5
     18652.98   4.215906E-5
     18653.16   4.976012E-5
     18653.35   5.744206E-5
     18653.53   6.504306E-5
     18653.71   7.264406E-5
     18653.88   7.943640E-5
     18654.06   7.606438E-5
     18654.27   4.854906E-5
     18654.43   2.632526E-5
     18654.62   1.191263E-6
      18654.8            0.
     18654.98            0.
     18655.17            0.
     18655.35            0.
     18655.54            0.
     18655.72            0.
      18655.9            0.
     18656.09            0.
     18656.25            0.
     18656.44            0.
     18656.62   3.031138E-6
     18656.81   5.884604E-5
     18656.99   1.146607E-4
     18657.18   1.710689E-4
     18657.36   2.268832E-4
     18657.54   2.826973E-4
     18657.73   3.391049E-4
     18657.91   3.949188E-4
     18658.08   4.203659E-4
     18658.28   4.169419E-4
     18658.45   4.142026E-4
     18658.63   4.111372E-4
     18658.81   4.080395E-4
       18659.   4.049741E-4
     18659.18   4.018763E-4
     18659.37   3.988110E-4
     18659.55   3.957456E-4
     18659.74   3.926478E-4
     18659.92   3.895823E-4
     18660.11   3.868673E-4
     18660.27   3.847239E-4
     18660.45   3.823251E-4
     18660.66   3.796455E-4
     18660.84   3.772470E-4
     18661.01   3.751031E-4
     18661.19   3.726788E-4
     18661.37   3.702801E-4
     18661.56   3.678814E-4
     18661.74   3.654571E-4
     18661.93   3.630583E-4
     18662.11   3.471598E-4
      18662.3   3.229235E-4
     18662.48   2.984292E-4
     18662.67   2.741931E-4
     18662.83   2.525353E-4
     18663.04   2.254631E-4
      18663.2   2.038055E-4
     18663.38   1.795696E-4
     18663.57   1.550759E-4
     18663.75   1.308403E-4
     18663.94   1.066047E-4
     18664.12   3.821680E-5
      18664.3            0.
     18664.49            0.
     18664.67            0.
     18664.86            0.
     18665.02            0.
     18665.21            0.
     18665.41            0.
     18665.58            0.
     18665.76            0.
     18665.95            0.
     18666.13            0.
     18666.31            0.
      18666.5            0.
