WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.195395E-19
PIVWV    r 6310.452
BANDW    r 415.454
TPEAK    r 0.4433655
EQUVW    r 580.8473
RECTW    r 1310.087
EMFLX    r 1.762527E-16
     3170.942  3.257786E-11
     3171.337  3.367119E-11
     3171.734  3.477374E-11
     3172.129  3.587601E-11
     3172.526  3.698613E-11
     3172.922  3.809525E-11
     3173.319  3.921361E-11
     3173.714  4.033093E-11
      3174.11  4.145201E-11
     3174.505  4.257685E-11
     3174.903  4.371102E-11
     3175.299  4.484403E-11
     3175.694  4.598075E-11
     3176.092  4.712613E-11
     3176.488  4.827033E-11
     3176.885  4.942391E-11
     3177.281  5.057625E-11
     3177.677  5.173160E-11
     3178.073  5.289207E-11
     3178.471  5.406053E-11
     3178.867  5.522840E-11
     3179.263  5.639922E-11
     3179.661  5.757953E-11
     3180.059  5.905803E-11
     3180.456  6.220673E-11
     3180.852  6.536610E-11
     3181.248  6.853818E-11
     3181.646  7.173470E-11
     3182.043  7.492817E-11
      3182.44  7.813413E-11
     3182.836  8.134871E-11
     3183.236  8.460380E-11
     3183.633  8.784174E-11
      3184.03  9.109025E-11
     3184.427  9.435128E-11
     3184.825  9.763497E-11
     3185.222  1.009172E-10
     3185.619  1.042100E-10
     3186.016  1.075132E-10
     3186.415  1.108432E-10
     3186.814  1.141838E-10
     3187.211  1.175185E-10
     3187.608  1.208658E-10
     3188.007  1.242401E-10
     3188.405  1.276082E-10
     3188.802  1.309889E-10
     3189.199  1.343779E-10
     3189.598  1.377940E-10
     3189.996  1.412081E-10
     3190.395  1.493770E-10
     3190.793  1.575883E-10
     3191.191  1.658255E-10
      3191.59  1.741241E-10
     3191.988  1.824129E-10
     3192.385  1.907277E-10
     3192.783  1.990732E-10
     3193.183  2.074805E-10
     3193.581  2.158774E-10
     3193.981  2.243361E-10
     3194.379  2.327894E-10
     3194.779  2.413047E-10
     3195.177  2.498091E-10
     3195.575  2.583388E-10
     3195.973  2.668939E-10
     3196.373  2.755114E-10
     3196.772  2.841228E-10
      3197.17  2.927595E-10
     3197.569  3.014213E-10
     3197.971  3.101884E-10
     3198.369  3.189009E-10
     3198.768  3.276438E-10
     3199.167  3.364121E-10
     3199.567  3.452433E-10
     3199.966  3.540619E-10
     3200.365  3.728243E-10
     3200.763  3.926001E-10
     3201.164  4.125657E-10
     3201.565  4.326366E-10
     3201.964  4.527020E-10
     3202.363  4.728591E-10
     3202.762  4.931205E-10
     3203.163  5.135606E-10
     3203.562  5.340053E-10
     3203.961  5.545538E-10
     3204.362  5.752699E-10
     3204.761  5.960017E-10
     3205.163  6.169135E-10
     3205.562  6.378271E-10
     3205.962  6.588442E-10
     3206.363  6.800428E-10
     3206.762  7.012288E-10
     3207.162  7.225185E-10
     3207.562  7.438982E-10
     3207.963  7.654734E-10
     3208.365  7.871396E-10
     3208.765  8.088041E-10
     3209.165  8.305447E-10
     3209.566  8.524949E-10
     3209.966  8.744283E-10
     3210.366  9.148686E-10
     3210.767  9.571772E-10
     3211.168  9.998482E-10
     3211.569   1.042518E-9
