WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.985469E-19
PIVWV    r 5579.85
BANDW    r 165.2026
TPEAK    r 0.246869
EQUVW    r 131.4178
RECTW    r 532.3381
EMFLX    r 3.231981E-16
     2706.119   9.762008E-7
     2706.506   9.758112E-7
     2706.894   9.754217E-7
     2707.283   9.750277E-7
     2707.673   9.746326E-7
     2708.061   9.742394E-7
     2708.449   9.738496E-7
     2708.839   9.734581E-7
     2709.227   9.730658E-7
     2709.615   9.726720E-7
     2710.005   9.722762E-7
     2710.393   9.718666E-7
     2710.783   9.714555E-7
     2711.171   9.710451E-7
     2711.561   9.706325E-7
      2711.95   9.702212E-7
      2712.34   9.698088E-7
     2712.729   9.693974E-7
     2713.117   9.689862E-7
     2713.508   9.685737E-7
     2713.896   9.681621E-7
     2714.285   9.677497E-7
     2714.677   9.673341E-7
     2715.066   9.669213E-7
     2715.455   9.665082E-7
     2715.846   9.660939E-7
     2716.235   9.656817E-7
     2716.624   9.652701E-7
     2717.015   9.648569E-7
     2717.404   9.644452E-7
     2717.794   9.640335E-7
     2718.185   9.636203E-7
     2718.576   9.632085E-7
     2718.965   9.627977E-7
     2719.356   9.623830E-7
     2719.746   9.619696E-7
     2720.136   9.615634E-7
     2720.527   9.611693E-7
     2720.917   9.607767E-7
     2721.307   9.603847E-7
     2721.698   9.599917E-7
      2722.09   9.595984E-7
      2722.48   9.592052E-7
     2722.871   9.588107E-7
     2723.261   9.584194E-7
     2723.652   9.580287E-7
     2724.043   9.576368E-7
     2724.434   9.572445E-7
     2724.824   9.568522E-7
     2725.216   9.564593E-7
     2725.608   9.560671E-7
     2725.999   9.556759E-7
     2726.389   9.552823E-7
     2726.781   9.548869E-7
     2727.172   9.544926E-7
     2727.563   9.540978E-7
     2727.955   9.537010E-7
     2728.346   9.533101E-7
     2728.739   9.529185E-7
     2729.131   9.525254E-7
     2729.522   9.521314E-7
     2729.914   9.517373E-7
     2730.306   9.513244E-7
     2730.697   9.509081E-7
     2731.089   9.504907E-7
     2731.481   9.500690E-7
     2731.873   9.496485E-7
     2732.264   9.492298E-7
     2732.659   9.488088E-7
     2733.051   9.483908E-7
     2733.442   9.479729E-7
     2733.835   9.475534E-7
     2734.227   9.471360E-7
     2734.619   9.467192E-7
     2735.012   9.463006E-7
     2735.404   9.458827E-7
     2735.798   9.454629E-7
      2736.19   9.450438E-7
     2736.583   9.446226E-7
     2736.975   9.442031E-7
     2737.369   9.437844E-7
     2737.761   9.433671E-7
     2738.154   9.429494E-7
     2738.547   9.425292E-7
      2738.94   9.421107E-7
     2739.332   9.416910E-7
     2739.726   9.412693E-7
      2740.12   9.408521E-7
     2740.513   9.404457E-7
     2740.906   9.400395E-7
       2741.3   9.396317E-7
     2741.693   9.392255E-7
     2742.086   9.388189E-7
      2742.48   9.384108E-7
     2742.875   9.380029E-7
     2743.268   9.375974E-7
     2743.662   9.371900E-7
     2744.055   9.367842E-7
     2744.449   9.363747E-7
     2744.844   9.359638E-7
     2745.237   9.355569E-7
      2745.63   9.351513E-7
     2746.025   9.347439E-7
     2746.418   9.343383E-7
     2746.813   9.339308E-7
     2747.209   9.335227E-7
     2747.602   9.331156E-7
     2747.996   9.327084E-7
     2748.391   9.322997E-7
     2748.785   9.318922E-7
     2749.179   9.314845E-7
     2749.574   9.310740E-7
      2749.97   9.306636E-7
     2750.364   9.302573E-7
      2750.76   9.298494E-7
     2751.154   9.294424E-7
     2751.548   9.290345E-7
     2751.944   9.286252E-7
     2752.338   9.282186E-7
     2752.733   9.278119E-7
     2753.128   9.274030E-7
     2753.523   9.269937E-7
     2753.918   9.265842E-7
     2754.315   9.261719E-7
      2754.71   9.257624E-7
     2755.105   9.253538E-7
       2755.5   9.249482E-7
     2755.896   9.245409E-7
