WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,ccd,f28x50lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.637050E-19
PIVWV    r 7218.918
BANDW    r 1140.357
TPEAK    r 0.1240126
EQUVW    r 366.392
RECTW    r 2954.473
EMFLX    r 6.195580E-16
     5268.857   3.677253E-4
     5269.276   3.717102E-4
      5269.69   3.756394E-4
     5270.106   3.795966E-4
     5270.521   3.835754E-4
     5270.934   3.878301E-4
     5271.351   3.921152E-4
     5271.765   3.963754E-4
     5272.182   4.006658E-4
     5272.595   4.049212E-4
     5273.012   4.092121E-4
     5273.429   4.132165E-4
     5273.846   4.169583E-4
      5274.26   4.206783E-4
     5274.674   4.243985E-4
     5275.091   4.281452E-4
     5275.505   4.318701E-4
     5275.922   4.356169E-4
     5276.336   4.387569E-4
     5276.756   4.418909E-4
     5277.171   4.449851E-4
     5277.585   4.480756E-4
     5278.002   4.511917E-4
     5278.417   4.542825E-4
     5278.834   4.579074E-4
     5279.249   4.625890E-4
     5279.666   4.672986E-4
      5280.08   4.719823E-4
     5280.498   4.767062E-4
     5280.915   4.814307E-4
      5281.33   4.861223E-4
     5281.747   4.911631E-4
     5282.162   4.962910E-4
      5282.58   5.014617E-4
     5282.994   5.065905E-4
     5283.412   5.117559E-4
     5283.827   5.168915E-4
     5284.247   5.221342E-4
     5284.662   5.275736E-4
      5285.08   5.330453E-4
     5285.495   5.384853E-4
      5285.91   5.439259E-4
     5286.328   5.494052E-4
     5286.743   5.548466E-4
     5287.161   5.608535E-4
     5287.576   5.672777E-4
     5287.994   5.737477E-4
     5288.412   5.802182E-4
     5288.827   5.866437E-4
     5289.245   5.931229E-4
      5289.66   5.995494E-4
     5290.078   6.059555E-4
     5290.494   6.123117E-4
     5290.912   6.187130E-4
     5291.327   6.250623E-4
     5291.749   6.315091E-4
     5292.164   6.378662E-4
      5292.58   6.439242E-4
     5292.998   6.494935E-4
     5293.414   6.550239E-4
     5293.832   6.605936E-4
     5294.248   6.661243E-4
     5294.666   6.716944E-4
     5295.082   6.772258E-4
       5295.5   6.845988E-4
     5295.919   6.924772E-4
     5296.337   7.003561E-4
     5296.753   7.081893E-4
     5297.169   7.160227E-4
     5297.588   7.239025E-4
     5298.004   7.317316E-4
     5298.423   7.395963E-4
     5298.839   7.474063E-4
     5299.261   7.553268E-4
     5299.677   7.631375E-4
     5300.096   7.710080E-4
     5300.512   7.788388E-4
     5300.928   7.871376E-4
     5301.347   7.957728E-4
     5301.763   8.043585E-4
     5302.182   8.129952E-4
     5302.598   8.215724E-4
     5303.018   8.302208E-4
     5303.437   8.389396E-4
     5303.853   8.486803E-4
     5304.272   8.585018E-4
     5304.689   8.682560E-4
     5305.108   8.780793E-4
     5305.525   8.878350E-4
     5305.944   8.976603E-4
     5306.361   9.083368E-4
     5306.783   9.201391E-4
       5307.2   9.317787E-4
     5307.616   9.434194E-4
     5308.036   9.551567E-4
     5308.453   9.667994E-4
     5308.873   9.785388E-4
     5309.289   9.899621E-4
     5309.709   0.001001463
     5310.126   0.001012884
     5310.545   0.001024374
     5310.965   0.001035877
     5311.385   0.001047382
     5311.802    0.00105939
     5312.219   0.001072391
     5312.639   0.001085484
     5313.056   0.001098486
     5313.477   0.001111597
     5313.894   0.001124602
     5314.316   0.001137792
     5314.734   0.001151904
     5315.151    0.00116625
     5315.571   0.001180715
     5315.988   0.001195064
     5316.409   0.001209532
     5316.826     0.0012239
     5317.247   0.001238411
     5317.664   0.001252943
     5318.084   0.001267579
     5318.505   0.001282215
     5318.922   0.001296752
     5319.343   0.001311391
     5319.763   0.001326032
     5320.181   0.001340732
     5320.599   0.001355528
     5321.019   0.001370412
     5321.437   0.001385211
      5321.86   0.001400202
     5322.278   0.001415005
     5322.696   0.001430338
     5323.117   0.001448644
     5323.535   0.001466804
     5323.956   0.001485115
     5324.374     0.0015033
     5324.794   0.001521615
     5325.213   0.001539827
     5325.634   0.001558795
     5326.055   0.001578174
     5326.473   0.001597422
     5326.894   0.001616829
     5327.312   0.001636081
     5327.733   0.001655493
     5328.151    0.00167492
     5328.573   0.001696778
     5328.991   0.001718487
     5329.416   0.001740503
     5329.833   0.001762192
     5330.252    0.00178389
     5330.673   0.001805729
     5331.092   0.001828485
     5331.514   0.001852366
     5331.932   0.001876056
     5332.354   0.001899913
     5332.772   0.001923607
     5333.194   0.001947498
     5333.615   0.001971366
     5334.034   0.001995743
     5334.456   0.002020266
     5334.875   0.002044648
     5335.296   0.002069203
     5335.715    0.00209359
     5336.137    0.00211815
     5336.556   0.002144001
     5336.981   0.002171881
       5337.4   0.002199379
     5337.819    0.00222688
     5338.241   0.002254575
      5338.66   0.002282081
     5339.082   0.002309813
     5339.501   0.002339617
     5339.923   0.002369795
     5340.342   0.002399731
     5340.765   0.002429914
     5341.187     0.0024601
     5341.609   0.002490254
     5342.028   0.002520894
     5342.448   0.002552428
      5342.87   0.002584184
      5343.29   0.002615724
     5343.712   0.002647486
     5344.131   0.002679031
     5344.554   0.002710835
     5344.977   0.002745835
     5345.399   0.002781193
     5345.819   0.002816352
     5346.238   0.002851472
     5346.661   0.002886881
     5347.081   0.002922048
     5347.503   0.002958188
     5347.923   0.002995338
     5348.346   0.003032751
     5348.769   0.003070166
     5349.192   0.003107585
     5349.612   0.003144749
     5350.032   0.003181915
     5350.455   0.003224404
     5350.875   0.003267406
     5351.298   0.003310663
     5351.718   0.003353623
     5352.144   0.003397236
     5352.564   0.003440204
     5352.987   0.003483356
     5353.408   0.003525922
     5353.828   0.003568443
     5354.251   0.003611314
     5354.671   0.003653891
     5355.095   0.003696769
     5355.515   0.003739355
     5355.938   0.003784525
     5356.359   0.003829784
     5356.785   0.003875677
     5357.206   0.003920996
     5357.626   0.003966267
      5358.05   0.004011909
     5358.471   0.004057894
     5358.895   0.004105586
     5359.315   0.004152897
     5359.742   0.004200927
     5360.163   0.004248302
     5360.586    0.00429601
     5361.007   0.004343337
     5361.428   0.004397722
     5361.852   0.004453709
     5362.273   0.004509376
     5362.697   0.004565372
     5363.118   0.004620985
     5363.542   0.004676992
     5363.963   0.004734721
     5364.387   0.004796584
     5364.811   0.004858526
     5365.232   0.004919973
     5365.656   0.004981926
     5366.078   0.005043455
     5366.501   0.005105348
     5366.923   0.005166295
     5367.347   0.005227574
     5367.771   0.005288858
     5368.196   0.005350149
     5368.617   0.005411021
     5369.039   0.005471969
     5369.463   0.005536117
     5369.885   0.005604622
      5370.31   0.005673767
     5370.731    0.00574239
     5371.156   0.005811578
     5371.577   0.005880219
     5372.005   0.005949902
     5372.427   0.006022587
     5372.848   0.006095679
     5373.273   0.006169373
     5373.695   0.006242566
      5374.12   0.006316279
     5374.542   0.006389491
     5374.967   0.006463666
     5375.392   0.006538305
     5375.816   0.006612954
     5376.238   0.006687099
     5376.661   0.006761338
     5377.085   0.006836014
     5377.508   0.006910271
     5377.933   0.006989005
     5378.355    0.00706747
      5378.78    0.00714658
     5379.203   0.007225155
     5379.628   0.007304286
     5380.053   0.007383408
     5380.476   0.007464545
     5380.901   0.007549622
     5381.323   0.007634118
     5381.749    0.00771921
     5382.171    0.00780382
     5382.597   0.007888927
     5383.022   0.007974138
     5383.448   0.008064569
     5383.871   0.008154636
     5384.293   0.008244609
