WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f547m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 7.691164E-18
PIVWV    r 5483.873
BANDW    r 205.5184
TPEAK    r 0.01630851
EQUVW    r 10.40373
RECTW    r 637.9322
EMFLX    r 4.990218E-15
     2166.578   5.653642E-9
     2166.965   5.092345E-9
     2167.352   4.530381E-9
     2167.737   3.969524E-9
     2168.124   3.406224E-9
     2168.511   2.841900E-9
     2168.898   2.276904E-9
     2169.285   1.711239E-9
     2169.671   1.146691E-9
     2170.058  7.110966E-10
     2170.445   1.025437E-9
     2170.831   1.339326E-9
     2171.219   1.654352E-9
     2171.607   1.970915E-9
     2171.993   2.285833E-9
     2172.381   2.602289E-9
     2172.769   2.918890E-9
     2173.155   3.235038E-9
     2173.543   3.552728E-9
     2173.931   3.870563E-9
     2174.317   4.187943E-9
     2174.705   4.506670E-9
     2175.094   4.825944E-9
      2175.48   5.144558E-9
      2175.87   5.465330E-9
     2176.258   5.785846E-9
     2176.645   6.105500E-9
     2177.033   6.426709E-9
     2177.422   6.748269E-9
     2177.809   7.069365E-9
     2178.198   7.391821E-9
     2178.587   7.714629E-9
     2178.975   8.037783E-9
     2179.364   8.361288E-9
     2179.752   8.684325E-9
     2180.141   8.778526E-9
      2180.53   8.465967E-9
     2180.918   8.154075E-9
     2181.307   7.841083E-9
     2181.696   7.527382E-9
     2182.085   7.213564E-9
     2182.473   6.900215E-9
     2182.864   6.584580E-9
     2183.252   6.270403E-9
     2183.642   5.955122E-9
     2184.031   5.639324E-9
