WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f160w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.208483E-20
PIVWV    r 16030.47
BANDW    r 1176.615
TPEAK    r 0.2493621
EQUVW    r 851.4484
RECTW    r 3414.506
EMFLX    r 1.342418E-16
     12389.81   1.667915E-5
     12390.44   1.732487E-5
     12391.08   1.685415E-5
     12391.72   1.638339E-5
     12392.34   1.592266E-5
     12392.98   1.545187E-5
     12393.62   1.498175E-5
     12394.25   1.452096E-5
     12394.89   1.405009E-5
     12395.53   1.229784E-5
     12396.17   1.027550E-5
     12396.79   8.293199E-6
     12397.43   6.270656E-6
     12398.06   4.291250E-6
      12398.7   2.268509E-6
     12399.34   2.456701E-7
     12399.98            0.
     12400.62            0.
     12401.25            0.
     12401.89            0.
     12402.51            0.
     12403.15            0.
     12403.79            0.
     12404.42            0.
     12405.06            0.
      12405.7            0.
     12406.33            0.
     12406.97   6.418946E-7
     12407.61   2.668279E-6
     12408.25   4.694720E-6
     12408.87   6.674881E-6
     12409.51   8.701435E-6
     12410.15   9.809239E-6
     12410.78   8.059188E-6
     12411.42   6.270930E-6
     12412.06   4.482617E-6
      12412.7   2.696982E-6
     12413.33   9.467382E-7
     12413.97            0.
      12414.6            0.
     12415.24            0.
     12415.88            0.
     12416.51            0.
     12417.15            0.
     12417.79            0.
     12418.43            0.
     12419.05            0.
      12419.7            0.
     12420.34            0.
     12420.96            0.
     12421.61            0.
     12422.25            0.
     12422.87            0.
     12423.51            0.
     12424.16            0.
      12424.8            0.
     12425.42            0.
     12426.07   5.127105E-7
     12426.71   3.620991E-6
     12427.33   6.663122E-6
     12427.98   9.766846E-6
      12428.6   1.280915E-5
     12429.25   1.591778E-5
     12429.89   1.902649E-5
     12430.53   1.898438E-5
     12431.16   1.828193E-5
      12431.8   1.756526E-5
     12432.44   1.684749E-5
     12433.07   1.614498E-5
     12433.71   1.542716E-5
     12434.35   1.470932E-5
     12434.99   1.399036E-5
     12435.62   1.409715E-5
     12436.26   1.421668E-5
      12436.9   1.433622E-5
     12437.53   1.445321E-5
     12438.17   1.457275E-5
     12438.82   1.469248E-5
     12439.44   1.480948E-5
     12440.08   1.467563E-5
     12440.71   1.291698E-5
     12441.37   1.108455E-5
       12442.   9.325809E-6
     12442.64   7.531511E-6
     12443.27   5.772668E-6
     12443.91   3.978273E-6
     12444.55   2.181093E-6
     12445.18   7.284902E-7
     12445.82   1.126367E-8
     12446.47            0.
     12447.11            0.
     12447.74            0.
     12448.38            0.
     12449.02            0.
     12449.65            0.
     12450.29            0.
     12450.94            0.
     12451.56            0.
     12452.21            0.
     12452.85   7.062930E-7
     12453.49   1.914485E-6
     12454.12   3.097004E-6
     12454.76   4.305265E-6
     12455.41   3.984496E-6
     12456.04   2.799957E-6
     12456.68   1.589631E-6
     12457.31   4.031853E-7
     12457.96            0.
     12458.59            0.
     12459.24            0.
     12459.87            0.
     12460.51            0.
     12461.15            0.
