WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f658n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.999179E-18
PIVWV    r 6584.016
BANDW    r 37.15238
TPEAK    r 0.4449753
EQUVW    r 33.35851
RECTW    r 74.96711
EMFLX    r 1.515987E-16
     3221.798   1.243909E-9
     3222.202   1.287694E-9
     3222.603   1.331466E-9
     3223.005   1.375412E-9
     3223.408   1.419742E-9
      3223.81   1.464032E-9
     3224.212   1.508525E-9
     3224.615   1.553385E-9
     3225.017   1.598229E-9
     3225.419   1.643234E-9
     3225.823   1.688632E-9
     3226.227   1.734211E-9
     3226.629   1.779776E-9
     3227.031   1.825514E-9
     3227.435   1.871627E-9
     3227.837   1.917745E-9
     3228.239   1.963999E-9
     3228.644   2.010672E-9
     3229.048   2.057492E-9
      3229.45   2.104292E-9
     3229.853   2.151292E-9
     3230.257   2.218276E-9
     3230.659   2.296468E-9
     3231.062   2.374962E-9
     3231.467   2.454145E-9
     3231.869   2.533247E-9
     3232.272   2.612696E-9
     3232.677   2.692783E-9
     3233.081   2.773219E-9
     3233.484   2.853557E-9
     3233.887   2.934243E-9
     3234.292   3.015577E-9
     3234.695   3.096869E-9
     3235.098   3.178454E-9
     3235.503   3.260717E-9
     3235.906   3.342877E-9
     3236.311   3.425762E-9
     3236.717   3.509005E-9
      3237.12   3.592136E-9
     3237.523   3.675546E-9
     3237.927   3.759300E-9
     3238.332   3.843707E-9
     3238.736   3.928052E-9
     3239.139   4.012696E-9
     3239.545   4.098055E-9
     3239.948   4.183349E-9
     3240.354   4.309089E-9
      3240.76   4.441080E-9
     3241.164   4.573050E-9
     3241.567   4.705388E-9
     3241.973   4.838832E-9
     3242.377   4.972212E-9
     3242.781   5.106060E-9
     3243.186   5.240453E-9
     3243.593   5.376453E-9
     3243.998   5.511779E-9
     3244.402   5.647468E-9
     3244.808   5.784361E-9
