WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f300w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 6.137463E-17
PIVWV    r 2992.787
BANDW    r 325.4557
TPEAK    r 0.002766136
EQUVW    r 2.374097
RECTW    r 858.2719
EMFLX    r 6.051428E-14
     2422.735   4.110523E-4
     2423.122   4.141309E-4
     2423.512   4.172348E-4
     2423.899   4.203194E-4
     2424.288   4.234215E-4
     2424.675   4.265179E-4
     2425.064   4.296280E-4
     2425.451   4.327323E-4
     2425.839   4.358407E-4
     2426.228   4.389648E-4
     2426.617   4.420928E-4
     2427.006   4.452249E-4
     2427.394   4.483532E-4
     2427.783   4.514953E-4
      2428.17   4.546295E-4
      2428.56   4.577815E-4
     2428.948   4.609257E-4
     2429.336   4.640759E-4
     2429.725   4.672399E-4
     2430.114   4.704823E-4
     2430.504   4.739564E-4
     2430.893   4.774131E-4
     2431.282   4.808851E-4
     2431.671   4.843505E-4
     2432.059   4.878203E-4
     2432.449   4.913075E-4
     2432.838   4.947881E-4
     2433.228   4.982839E-4
     2433.618   5.017865E-4
     2434.008   5.052935E-4
     2434.397   5.087937E-4
     2434.786   5.122984E-4
     2435.176   5.158205E-4
     2435.565   5.193339E-4
     2435.956   5.228672E-4
     2436.345   5.263914E-4
     2436.736   5.299334E-4
     2437.125   5.334665E-4
     2437.516   5.370195E-4
     2437.906   5.405745E-4
     2438.296   5.441253E-4
     2438.687   5.476915E-4
     2439.076   5.512509E-4
     2439.467   5.548259E-4
     2439.857   5.583964E-4
     2440.248   5.619745E-4
     2440.639   5.655522E-4
     2441.029   5.691232E-4
     2441.421   5.727120E-4
     2441.811   5.762939E-4
     2442.202   5.798912E-4
     2442.592   5.834817E-4
     2442.984   5.870902E-4
     2443.374   5.906916E-4
     2443.766   5.943088E-4
     2444.156   5.979213E-4
     2444.548   6.015495E-4
      2444.94   6.051818E-4
     2445.331   6.088073E-4
     2445.723   6.124509E-4
     2446.114   6.160850E-4
     2446.506   6.197373E-4
     2446.896   6.233826E-4
     2447.289   6.270459E-4
     2447.681   6.307134E-4
     2448.072   6.343741E-4
     2448.465   6.380506E-4
     2448.856   6.417224E-4
     2449.249   6.454098E-4
      2449.64   6.490880E-4
     2450.032   6.528028E-4
     2450.424   6.566877E-4
     2450.817   6.605916E-4
     2451.208   6.644881E-4
     2451.601   6.684039E-4
     2451.994   6.723241E-4
     2452.386   6.762344E-4
     2452.779   6.801663E-4
     2453.171   6.840882E-4
     2453.564   6.880270E-4
     2453.956   6.919606E-4
     2454.348   6.958990E-4
     2454.743   6.998687E-4
     2455.135   7.038187E-4
     2455.529   7.077855E-4
     2455.921   7.117446E-4
     2456.315   7.157210E-4
     2456.708   7.196917E-4
     2457.101   7.236797E-4
     2457.494   7.276598E-4
     2457.886   7.316447E-4
     2458.281   7.356490E-4
     2458.675   7.396580E-4
     2459.069   7.436743E-4
     2459.462   7.476800E-4
     2459.856   7.517056E-4
     2460.249   7.556077E-4
     2460.643   7.594592E-4
     2461.036   7.633033E-4
      2461.43   7.671541E-4
     2461.826   7.710357E-4
     2462.219   7.748952E-4
     2462.614   7.787736E-4
     2463.007   7.826419E-4
     2463.402   7.865292E-4
     2463.795   7.904086E-4
     2464.189   7.942951E-4
     2464.584   7.981979E-4
     2464.978   8.020931E-4
     2465.373   8.060047E-4
     2465.767   8.099112E-4
     2466.164   8.138462E-4
     2466.558   8.177615E-4
     2466.952   8.216811E-4
     2467.347   8.256198E-4
     2467.741   8.295507E-4
     2468.137   8.334983E-4
     2468.531   8.374382E-4
     2468.928   8.414119E-4
     2469.323   8.453627E-4
     2469.719   8.493308E-4
     2470.113   8.533783E-4
     2470.509   8.576637E-4
     2470.904   8.619406E-4
     2471.299   8.662226E-4
     2471.695   8.705251E-4
      2472.09   8.748164E-4
     2472.486   8.791313E-4
     2472.881   8.834350E-4
     2473.279   8.877729E-4
     2473.674   8.920862E-4
     2474.069   8.964071E-4
     2474.466   9.007487E-4
     2474.861   9.050791E-4
     2475.258   9.094304E-4
     2475.654   9.137733E-4
     2476.051   9.181370E-4
     2476.448   9.225055E-4
     2476.843   9.268628E-4
      2477.24   9.312439E-4
     2477.636   9.356137E-4
     2478.033   9.400042E-4
     2478.429   9.443837E-4
     2478.826   9.487871E-4
     2479.222   9.531786E-4
      2479.62   9.575917E-4
     2480.016   9.619805E-4
     2480.414   9.660859E-4
     2480.811   9.701959E-4
     2481.208   9.742951E-4
     2481.605   9.784142E-4
     2482.002   9.825248E-4
       2482.4   9.866551E-4
     2482.796   9.907775E-4
     2483.194   9.949165E-4
     2483.593   9.990631E-4
     2483.989   0.001003199
     2484.387   0.001007354
     2484.784   0.001011501
     2485.183   0.001015665
      2485.58   0.001019824
     2485.978      0.001024
     2486.375   0.001028167
     2486.774   0.001032352
     2487.171   0.001036531
      2487.57   0.001040728
     2487.969   0.001044929
     2488.366   0.001049121
     2488.765   0.001053334
     2489.163   0.001057538
     2489.562   0.001061762
      2489.96   0.001065975
     2490.359   0.001070428
     2490.758    0.00107491
     2491.156   0.001079384
     2491.555   0.001083879
     2491.953   0.001088362
     2492.353   0.001092869
     2492.751   0.001097365
     2493.149   0.001101865
     2493.549   0.001106387
     2493.949   0.001110913
     2494.347   0.001115434
     2494.747    0.00111997
     2495.147   0.001124517
     2495.546   0.001129049
     2495.946   0.001133605
     2496.344    0.00113815
     2496.743   0.001142702
     2497.144   0.001147276
     2497.543   0.001151838
     2497.944   0.001156436
     2498.344    0.00116101
     2498.744   0.001165603
     2499.143   0.001170191
     2499.544   0.001174797
     2499.943    0.00117939
     2500.343   0.001183593
     2500.743   0.001187749
     2501.143   0.001191896
     2501.544   0.001196061
     2501.945   0.001200232
     2502.346   0.001204408
     2502.746   0.001208572
     2503.146   0.001212744
     2503.547   0.001216935
     2503.948    0.00122113
     2504.348   0.001225315
     2504.749   0.001229507
     2505.151    0.00123373
     2505.552   0.001237933
     2505.953   0.001242153
     2506.354   0.001246364
     2506.754    0.00125058
     2507.156   0.001254815
     2507.557   0.001259042
     2507.958   0.001263287
     2508.359   0.001267525
     2508.761    0.00127178
     2509.164    0.00127604
     2509.564   0.001280291
     2509.967   0.001284563
     2510.368   0.001289094
      2510.77   0.001293669
     2511.171   0.001298234
     2511.574   0.001302821
     2511.975   0.001307398
     2512.379   0.001312011
     2512.781   0.001316598
     2513.182    0.00132119
     2513.585   0.001325804
     2513.987   0.001330408
      2514.39   0.001335034
     2514.792    0.00133965
     2515.195   0.001344285
     2515.596   0.001348911
        2516.   0.001353559
     2516.403   0.001358212
     2516.805   0.001362855
     2517.208   0.001367517
     2517.611   0.001372173
     2518.014   0.001376847
     2518.417   0.001381509
      2518.82   0.001386197
     2519.223   0.001390874
     2519.627   0.001395571
     2520.031   0.001400226
     2520.433   0.001404299
     2520.837   0.001408392
      2521.24   0.001412476
     2521.644   0.001416579
     2522.047   0.001420671
     2522.451   0.001424782
     2522.854   0.001428886
     2523.259   0.001433005
     2523.663   0.001437131
     2524.067   0.001441249
     2524.471   0.001445383
     2524.875   0.001449509
     2525.279   0.001453654
     2525.683    0.00145779
     2526.088   0.001461943
     2526.491   0.001466088
     2526.896   0.001470252
     2527.301   0.001474421
     2527.705    0.00147858
      2528.11   0.001482759
     2528.514   0.001486926
      2528.92   0.001491116
     2529.324   0.001495295
     2529.729   0.001499493
     2530.133   0.001503763
     2530.538   0.001508211
     2530.945   0.001512693
     2531.349   0.001517149
     2531.755   0.001521629
     2532.159   0.001526094
     2532.565   0.001530583
      2532.97    0.00153506
     2533.376   0.001539561
     2533.781   0.001544049
     2534.187   0.001548556
     2534.593    0.00155307
     2534.998   0.001557575
     2535.405   0.001562101
      2535.81   0.001566615
     2536.216    0.00157115
     2536.621   0.001575675
     2537.027   0.001580172
     2537.433   0.001584201
     2537.839   0.001588218
     2538.247   0.001592266
     2538.652   0.001596289
     2539.059   0.001600328
     2539.465   0.001604356
     2539.871   0.001608387
     2540.278   0.001611985
     2540.684   0.001615369
     2541.091   0.001618764
     2541.499   0.001622163
     2541.906   0.001625563
     2542.312   0.001628952
     2542.719   0.001632355
     2543.126   0.001635748
     2543.532   0.001639146
      2543.94   0.001642554
     2544.346   0.001645953
     2544.754   0.001649364
     2545.161   0.001652768
      2545.57   0.001656196
     2545.977   0.001659601
     2546.385   0.001663021
     2546.792   0.001666432
     2547.199   0.001669842
     2547.607   0.001673267
     2548.014   0.001676683
     2548.423   0.001680111
     2548.831   0.001683543
     2549.239   0.001686963
     2549.647   0.001690397
     2550.056   0.001693872
     2550.463   0.001697588
     2550.871   0.001701306
      2551.28   0.001705039
     2551.687    0.00170876
     2552.096   0.001712498
     2552.504   0.001716224
     2552.913   0.001719964
     2553.323   0.001723706
      2553.73   0.001727439
      2554.14   0.001731186
     2554.548   0.001734921
     2554.958   0.001738673
     2555.366   0.001742413
     2555.775   0.001746168
     2556.185   0.001749924
     2556.594   0.001753671
     2557.003   0.001757432
     2557.412   0.001761181
     2557.822   0.001764945
      2558.23   0.001768699
     2558.641   0.001772469
     2559.049   0.001776226
      2559.46       0.00178
     2559.869   0.001783762
     2560.279   0.001787038
     2560.689    0.00179008
     2561.099   0.001793114
     2561.509   0.001796157
     2561.918   0.001799195
     2562.329   0.001802243
     2562.739   0.001805282
     2563.149   0.001808332
      2563.56   0.001811386
      2563.97   0.001814429
     2564.381   0.001817485
     2564.791   0.001820531
     2565.202   0.001823589
     2565.612   0.001826639
     2566.023   0.001829698
     2566.433   0.001832752
     2566.843   0.001835805
     2567.254   0.001838871
     2567.666   0.001841937
     2568.077   0.001845006
     2568.488   0.001848066
       2568.9   0.001851138
      2569.31     0.0018542
     2569.722   0.001857274
     2570.132   0.001860406
     2570.543   0.001863681
     2570.955    0.00186697
     2571.367    0.00187026
      2571.78   0.001873553
      2572.19   0.001876836
     2572.603   0.001880131
     2573.014   0.001883415
     2573.425   0.001886703
     2573.837   0.001890003
     2574.249   0.001893293
     2574.661   0.001896597
     2575.073   0.001899891
     2575.487   0.001903207
     2575.898   0.001906505
     2576.311   0.001909814
     2576.723   0.001913114
     2577.136   0.001916427
     2577.548   0.001919731
