WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,25mama
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.341392E-17
PIVWV    r 1369.428
BANDW    r 135.2006
TPEAK    r 0.04285724
EQUVW    r 13.62213
RECTW    r 317.849
EMFLX    r 9.694944E-15
     1367.562    0.03384782
     1367.858    0.03381671
     1368.154     0.0337856
      1368.45     0.0337545
     1368.746     0.0337234
     1369.042     0.0336923
     1369.338    0.03366122
     1369.634    0.03363016
      1369.93    0.03359908
     1370.227    0.03356836
     1370.523    0.03353777
      1370.82    0.03350718
     1371.116     0.0334766
     1371.413    0.03344602
     1371.709    0.03341546
     1372.006    0.03338489
     1372.303    0.03335433
       1372.6    0.03332378
     1372.897    0.03329322
     1373.194    0.03326269
     1373.491    0.03323214
     1373.788    0.03320161
     1374.085    0.03317109
     1374.382    0.03314057
      1374.68    0.03311005
     1374.977    0.03307954
     1375.275    0.03304896
     1375.573    0.03301847
      1375.87    0.03298797
     1376.168    0.03295749
     1376.465    0.03292701
     1376.763    0.03289653
      1377.06    0.03286614
     1377.358    0.03283567
     1377.656    0.03280522
     1377.954    0.03277477
     1378.253    0.03274424
     1378.551    0.03271381
     1378.849    0.03268337
     1379.148    0.03265294
     1379.446    0.03262252
     1379.744     0.0325921
     1380.043     0.0325616
     1380.341    0.03253055
      1380.64    0.03249953
     1380.939    0.03246849
     1381.237    0.03243748
     1381.536    0.03240648
     1381.835    0.03237546
     1382.134    0.03234447
     1382.433    0.03231347
     1382.732    0.03228248
     1383.031     0.0322515
      1383.33    0.03222052
      1383.63    0.03218947
      1383.93    0.03215851
     1384.229    0.03212754
     1384.528    0.03209668
     1384.827    0.03206572
     1385.127    0.03203479
     1385.426    0.03200385
     1385.726    0.03197292
     1386.027    0.03194192
     1386.326      0.031911
     1386.626    0.03188009
     1386.926    0.03184919
     1387.226    0.03181829
     1387.526    0.03178741
     1387.827    0.03175652
     1388.127    0.03172565
     1388.426    0.03169484
     1388.727    0.03166398
     1389.028    0.03163305
     1389.328    0.03160219
     1389.629    0.03157134
     1389.929    0.03154051
      1390.23    0.03150998
     1390.531    0.03147957
     1390.832    0.03144917
     1391.132    0.03141878
     1391.433    0.03138839
     1391.734      0.031358
     1392.035    0.03132763
     1392.337    0.03129726
     1392.638    0.03126688
     1392.939    0.03123653
      1393.24    0.03120618
     1393.542    0.03117583
     1393.843    0.03114549
     1394.145    0.03111516
     1394.446    0.03108483
     1394.749    0.03105444
      1395.05    0.03102411
     1395.351    0.03099388
     1395.653    0.03096357
     1395.955    0.03093328
     1396.257    0.03090299
     1396.559     0.0308727
     1396.862    0.03084235
     1397.164    0.03081209
     1397.466    0.03078182
     1397.769    0.03075156
     1398.071     0.0307213
     1398.374    0.03069106
     1398.676    0.03066082
     1398.979    0.03063058
     1399.281    0.03060043
     1399.583    0.03057022
     1399.886    0.03053999
      1400.19     0.0305039
     1400.492    0.03046442
     1400.795    0.03042494
     1401.098    0.03038548
     1401.401    0.03034603
     1401.705    0.03030659
     1402.008    0.03026716
     1402.311    0.03022772
     1402.615    0.03018821
     1402.918     0.0301489
     1403.221     0.0301095
     1403.525    0.03007013
     1403.829    0.03003075
     1404.132     0.0299914
     1404.436    0.02995203
      1404.74     0.0299127
     1405.044    0.02987335
     1405.348    0.02983402
     1405.652    0.02979462
     1405.956    0.02975532
      1406.26    0.02971612
     1406.565    0.02967673
     1406.868    0.02963756
     1407.173    0.02959829
     1407.477    0.02955903
     1407.781    0.02951979
     1408.087    0.02948046
     1408.391    0.02944125
     1408.696    0.02940202
     1409.001    0.02936281
     1409.306    0.02932363
      1409.61    0.02928444
     1409.915    0.02924526
      1410.22    0.02920672
     1410.525    0.02916843
     1410.831    0.02913013
