WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.004924E-16
PIVWV    r 5013.257
BANDW    r 48.2887
TPEAK    r 0.008138288
EQUVW    r 0.2914694
RECTW    r 35.81459
EMFLX    r 1.092269E-14
     2070.284   4.749910E-9
     2070.653   4.755571E-9
     2071.022   4.761250E-9
     2071.392   4.766937E-9
      2071.76   4.772609E-9
      2072.13   4.778305E-9
       2072.5   4.784009E-9
     2072.869   4.789713E-9
     2073.239   4.795425E-9
     2073.608   4.801127E-9
     2073.978   4.806847E-9
     2074.348   4.812575E-9
     2074.717   4.818294E-9
     2075.087   4.824031E-9
     2075.458   4.829776E-9
     2075.828   4.835523E-9
     2076.198   4.841278E-9
     2076.569   4.847038E-9
     2076.938   4.852785E-9
     2077.309   4.858554E-9
     2077.679   4.864330E-9
     2078.049   4.870093E-9
      2078.42   4.875881E-9
     2078.791   4.881673E-9
     2079.161   4.887452E-9
     2079.531   4.893254E-9
     2079.904   4.899081E-9
     2080.274   4.896516E-9
     2080.645   4.890984E-9
     2081.015   4.885452E-9
     2081.386   4.879890E-9
     2081.758   4.874310E-9
     2082.128   4.868738E-9
     2082.501   4.863113E-9
     2082.872   4.857491E-9
     2083.243   4.851871E-9
     2083.615   4.846223E-9
     2083.986   4.840557E-9
     2084.357   4.834896E-9
     2084.729   4.829199E-9
     2085.101   4.823491E-9
     2085.472   4.817782E-9
     2085.844   4.812044E-9
     2086.216   4.806292E-9
     2086.588   4.800523E-9
     2086.961   4.794739E-9
     2087.333   4.788943E-9
     2087.704   4.783146E-9
     2088.077   4.777317E-9
     2088.449   4.771475E-9
     2088.821   4.765635E-9
     2089.194   4.759760E-9
     2089.566   4.753876E-9
     2089.939   4.747970E-9
     2090.312   4.745132E-9
     2090.684   4.742888E-9
     2091.057   4.740630E-9
      2091.43   4.738364E-9
     2091.802   4.736094E-9
     2092.176   4.733811E-9
     2092.549   4.731519E-9
     2092.922   4.729218E-9
     2093.296   4.726910E-9
     2093.669   4.724593E-9
     2094.042   4.722275E-9
     2094.415   4.719941E-9
     2094.789   4.717599E-9
     2095.162   4.715256E-9
     2095.535   4.712898E-9
     2095.909   4.710530E-9
     2096.283   4.708154E-9
     2096.657   4.705770E-9
     2097.031   4.703380E-9
     2097.405   4.700984E-9
     2097.779   4.698575E-9
     2098.153   4.696158E-9
     2098.526   4.693738E-9
     2098.901   4.691304E-9
     2099.275   4.688860E-9
     2099.649   4.686419E-9
     2100.025   4.684326E-9
     2100.398   4.687577E-9
     2100.773   4.690841E-9
     2101.148   4.694105E-9
     2101.521   4.697361E-9
     2101.896   4.700629E-9
     2102.271   4.703897E-9
     2102.647   4.707169E-9
     2103.022   4.710440E-9
     2103.397   4.713714E-9
     2103.771   4.716976E-9
     2104.147   4.720253E-9
     2104.522   4.723530E-9
